Repetição,KNR,SVR,MLP,RF,GB,RLM
1,1066.3441,797.7705,1068.7920,1259.3048,1286.9892,1304.7444
2,964.0054,742.3504,1195.6018,1035.1355,1088.4949,1130.3797
3,997.1505,812.9966,140019.3712,1115.2312,1107.7401,1198.0490
4,963.9247,664.5975,847.1386,989.0588,988.4296,1806.0682
5,1319.7849,873.9824,3551.0881,1219.1956,1219.0992,1269.2455
6,1112.9839,833.8691,5916.8727,1126.0255,1130.2976,1198.6143
7,989.0323,787.6063,970.3014,1142.1027,1153.3952,1175.9853
8,1057.1505,756.1066,1562.2397,1040.1549,1048.1436,1087.9964
9,1024.7109,858.3988,3805.4894,1118.0399,1122.0624,1190.0859
10,1236.1572,720.8285,1219.1975,1332.6886,1337.3903,1485.7219
11,1098.9785,936.8510,1433.4754,1276.3186,1295.0231,1508.3801
12,1149.2473,782.4210,1431.0801,1115.3392,1125.0885,1146.7065
13,1042.9391,850.6535,1430.9066,1106.8343,1108.8827,1115.1953
14,1170.1075,809.9515,4463.4759,1210.6993,1189.0962,1210.4465
15,1255.2688,1018.5771,1212.9879,1318.3448,1336.4041,1427.1157
16,1105.2419,827.6747,1144.3146,1206.8140,1218.6680,1298.9808
17,966.4755,736.9215,1103.4397,1073.0484,1108.6052,1199.7414
18,763.8441,630.3345,1148.6487,987.5180,976.9033,1034.4924
19,929.6792,748.6867,1308.7259,1082.4105,1114.9720,1408.5067
20,1100.4839,897.5791,2252.6944,1151.2189,1151.7770,1244.5615
